"month","Mkt.RF","SMB","HML","RMW","CMA","RF","MOM","LIQ.agg","LIQ.innov","LIQ.v","NoDur","Durbl","Manuf","Enrgy","HiTec","Telcm","Shops","Hlth","Utils","Other","Lo10","Dec2","Dec3","Dec4","Dec5","Dec6","Dec7","Dec8","Dec9","Hi10"
"196307",-0.39,-0.46,-0.82,0.72,-1.15,0.27,0.99,0.014324982,0.021699515,-99,-0.78,-0.08,-1.37,3.39,-2.47,-1.8,-0.03,0.6,0.72,-1.08,-0.1,-0.42,-1.59,-0.86,-1.15,-2.05,-1.27,-1.52,-0.22,0.31
"196308",5.07,-0.85,1.63,0.42,-0.34,0.25,1.08,0.033767399,0.03989382,-99,3.56,4.18,4.13,7.32,2.91,7.57,3.52,7.28,3.93,4.36,2.61,3.48,4.83,5.04,6.23,4.57,5.58,5.74,5.94,6.18
"196309",-1.57,-0.5,0.19,-0.8,0.27,0.27,0.13,-0.007538195,0.021176333,-99,-0.75,-2.69,-1.22,0.46,0.37,-2.94,-1.07,-1.33,-1.87,-1.5,0.25,-1.74,-1.65,-1.87,-1.77,-1.53,-2.72,-1.86,-2.05,-1.79
"196310",2.53,-1.3,-0.11,2.75,-2.24,0.29,3.14,0.02680561,0.033780631,-99,2.39,2.54,0.88,-0.86,4.43,4.89,0.7,3.8,-0.78,0.94,0.78,0.22,2.79,2.99,0.87,1.61,1.66,1.09,1.59,2.03
"196311",-0.85,-0.83,1.66,-0.34,2.22,0.27,-0.75,-0.053130346,-0.058893457,-99,-2.01,-2.11,-0.98,0.87,-3,0.14,-3.22,-1.55,-0.97,-1.97,-2.54,-2.01,-0.62,-1.75,-1.38,-1.73,-0.24,-0.3,0.01,-0.78
"196312",1.83,-1.87,-0.11,0.18,-0.3,0.29,1.7,-0.020570904,0.015037958,-99,-0.31,-2.19,-0.44,1.57,-3.52,-1.33,-2.06,-0.45,1.78,0.68,-2.8,-1.1,0.03,0.46,1.81,0.61,1.76,1.27,1.84,2.29
"196401",2.24,0.12,1.64,0.21,1.46,0.3,1.06,-0.071359366,-0.053809474,-99,3.27,4.35,3.95,4.59,2.3,2.46,2.69,3.66,1.36,2.92,5.94,3.67,2.48,0.96,2.5,0.98,0.84,1.24,1.2,2
"196402",1.54,0.31,2.83,0.04,0.86,0.26,0.25,-0.0247466,0.01455957,-99,1.9,2.07,2.77,1.19,0.92,3.11,2.25,0.97,1.01,5.14,2.87,2.41,2.69,3.27,2.22,2.19,2.89,2.91,1.93,1.91
"196403",1.41,1.44,3.36,-2.02,2.93,0.31,0.71,0.031386002,0.043146428,-99,1.23,1.17,4.83,0.59,2.04,3.78,2.63,-1.4,-0.39,3.45,2.67,2.47,3.78,3.33,4.17,2.87,2.78,3.02,1.85,1.45
"196404",0.1,-1.52,-0.42,-1.39,-1.08,0.29,-0.59,-0.04066383,-0.026520462,-99,0.76,1.88,-0.89,4.37,-1.96,0.35,1.01,-1.47,0.75,-0.21,1.19,-0.75,-0.42,-0.48,-1.1,-0.16,-0.2,-0.8,-0.33,0.78
