"month","Mkt.RF","SMB","HML","RMW","CMA","RF","MOM","LIQ.agg","LIQ.innov","LIQ.v","NoDur","Durbl","Manuf","Enrgy","HiTec","Telcm","Shops","Hlth","Utils","Other","Lo10","Dec2","Dec3","Dec4","Dec5","Dec6","Dec7","Dec8","Dec9","Hi10"
"196307",-0.39,-0.46,-0.82,0.72,-1.15,0.27,0.99,0.014324982,0.021699515,-99,-0.47,-0.22,-1.41,2.3,-0.69,-0.23,-1.03,0.56,0.81,-1.63,-0.24,-0.43,-1.72,-0.89,-1.2,-2.07,-1.17,-1.56,-0.32,0.33
"196308",5.07,-0.85,1.63,0.42,-0.34,0.25,1.08,0.033767399,0.03989382,-99,4.87,6.55,6.2,3.93,5.14,4.29,6.41,9.56,4.22,5.46,2.55,3.39,4.78,5.18,6.35,4.49,5.59,5.82,5.93,5.23
"196309",-1.57,-0.5,0.19,-0.8,0.27,0.27,0.13,-0.007538195,0.021176333,-99,-1.68,-0.24,-0.76,-3.64,0.13,2.36,0.96,-4.06,-2.49,-3.17,-0.2,-1.85,-1.75,-1.88,-1.9,-1.5,-2.66,-1.88,-2.08,-0.91
"196310",2.53,-1.3,-0.11,2.75,-2.24,0.29,3.14,0.02680561,0.033780631,-99,2.66,9.72,2.58,-0.32,8.29,3.4,0.49,3.38,-0.67,1.37,0.69,0.29,2.77,2.79,1,1.52,1.5,1.14,1.8,3.54
"196311",-0.85,-0.83,1.66,-0.34,2.22,0.27,-0.75,-0.053130346,-0.058893457,-99,-1.13,-4.84,0.3,-1.15,-0.29,4.16,-1.23,-1.65,-1.02,0.22,-2,-2.05,-0.6,-1.79,-1.22,-1.67,-0.18,-0.34,-0.21,-0.55
"196312",1.83,-1.87,-0.11,0.18,-0.3,0.29,1.7,-0.020570904,0.015037958,-99,2.83,0.27,1.91,4.65,3.05,-0.14,0.34,1.54,2.42,2.8,-2.31,-0.88,0.07,0.34,2.15,0.48,1.94,1.18,1.79,2.57
"196401",2.24,0.12,1.64,0.21,1.46,0.3,1.06,-0.071359366,-0.053809474,-99,0.79,1.19,2.69,4.84,2.91,3.35,2.54,3.68,1.4,1.23,4.76,3.4,2.6,0.77,2.45,1.31,0.96,1.37,1.16,3.19
"196402",1.54,0.31,2.83,0.04,0.86,0.26,0.25,-0.0247466,0.01455957,-99,1.85,2.14,2.76,1.06,1.96,-0.28,1.61,1.66,0.85,5.46,2.71,2.28,2.76,3.29,2.29,2.22,3.02,3.07,2.03,1.47
"196403",1.41,1.44,3.36,-2.02,2.93,0.31,0.71,0.031386002,0.043146428,-99,3.08,0.93,3.7,1.4,3.38,-0.94,2.5,-1.94,-0.74,2.17,2.34,2.41,3.99,3.43,4.11,3.27,2.86,3.06,1.83,1.26
"196404",0.1,-1.52,-0.42,-1.39,-1.08,0.29,-0.59,-0.04066383,-0.026520462,-99,-0.45,1.93,-1.72,4.02,-3.63,0.81,2.85,-1.42,1.04,0.29,0.03,-0.78,-0.68,-0.42,-1.02,-0.49,0.28,-0.95,-0.52,0.91
"196405",1.42,-0.69,1.88,-0.28,0.28,0.26,2.56,-0.025722419,-0.004852759,-99,1.56,1.12,1.77,2.14,2.74,-0.4,3.88,0.53,0.83,2.43,0.77,0.2,1.89,2.73,1.39,0.95,2.04,2.17,0.99,1.76
"196406",1.27,0.05,0.72,-0.36,0.17,0.3,0.49,-0.056559794,-0.009246268,-99,1.61,0.67,0.92,0.65,0.52,4.76,3.79,0.59,2.19,1.38,1.25,1.07,1.13,1.28,0.94,1.87,1.58,1.31,1.45,1.61
"196407",1.74,0.47,0.7,0.02,1.91,0.3,-0.32,0.058182491,0.057634048,-99,1.72,5.28,1.34,3.34,-1.8,-1.99,1.28,4.76,4.92,1.34,3.76,2.37,3.65,1.8,1.81,2.98,2.01,2,3.45,1.69
"196408",-1.44,0.3,0.12,-0.09,0.35,0.28,-0.2,-0.048509276,-0.043403359,-99,-0.26,1.33,-1.25,-1.86,-2.75,-1.53,0.33,-4.22,-0.02,-3.11,-0.43,-0.9,-0.62,-1.74,-0.67,-0.98,-0.52,0.15,-1.32,-1.3
"196409",2.69,-0.31,1.65,-0.36,0.59,0.28,-0.39,-0.008161616,0.014335716,-99,1.68,5.04,4.77,3.08,1.15,-1.02,3.47,2.73,1.85,4.09,5.09,3.8,2.94,3.02,2.84,3,3.7,3.82,3.19,2.75
"196410",0.59,0.91,1.14,-0.18,0.45,0.29,0.13,0.012932947,0.039486833,-99,-0.16,0.25,0.3,3.06,-0.99,-0.89,2.3,2.88,0.94,1.85,2.68,1.8,1.07,1.31,1.49,2.64,1.23,1.78,0.76,0.6
"196411",0,-0.28,-1.96,0.62,-0.17,0.29,1.1,0.014885003,-0.003058329,-99,0.7,-1.38,-0.52,2.55,-0.23,-2.23,3.25,2.17,1.36,-1.77,0.1,0.26,0.61,-1.58,0.15,0.81,0.04,0.19,0.26,0.33
"196412",0.03,-0.56,-2.58,1.27,-1.64,0.31,-0.71,-0.02672873,-0.012278263,-99,0.24,1.67,-0.82,-0.24,-0.01,3.1,0.18,4.38,0.48,-1.75,-1.71,-2.22,-0.97,0.15,-0.24,-0.62,-0.39,-0.34,-0.23,0.71
"196501",3.54,2.48,0.2,0.75,0.15,0.28,-1.31,0.037920508,0.071593885,-99,6.06,3.76,5.52,0.51,7.46,0.27,3.07,7.66,3.94,4.75,8.44,6.44,6.43,6.29,5.46,5.8,5.23,5.65,4.62,3.12
"196502",0.44,3.3,0.19,0.26,-0.67,0.3,0.28,-0.016425606,0.022787926,-99,1.59,-0.69,2.51,-3.36,2.2,0.79,1.4,2.42,0.46,2.53,3.22,2.6,3.7,4.15,4.6,3.16,2.74,2.82,2.59,-0.43
"196503",-1.34,2.01,1.07,-0.32,0.74,0.36,0.09,0.033963327,0.018633714,-99,-0.8,1.39,-1.16,-3.03,-0.48,-1.68,-0.85,-0.92,-0.51,-0.27,2.27,2.41,1.11,-0.36,0.69,0.39,-0.03,-0.09,-0.58,-1.55
"196504",3.11,1.19,0.7,0.34,-2.3,0.31,2.54,0.022358717,0.041886379,-99,4.2,7.04,4.02,0.86,5.14,2.3,6.81,2.98,0.62,2.2,5.14,4.19,3.53,4.84,4.8,3.5,3.76,3.37,2.76,3.36
"196505",-0.77,0.04,-1.62,-0.47,0.74,0.31,0.54,-0.012941827,0.035068654,-99,-0.8,-3.53,-0.52,0.86,0.48,2.79,0.21,-1.24,-0.94,-1.72,-0.13,-1.59,-1.23,-0.41,-0.55,-0.29,-0.75,-0.87,-0.42,-0.27
"196506",-5.51,-4.31,0.58,0.13,0.44,0.35,-3.13,-0.163392854,-0.111628638,-99,-5.12,-6.83,-6.21,-1.98,-5.71,-4.14,-6.15,-5.31,-3.66,-6.96,-9.73,-9.92,-8.63,-9.01,-8.18,-8.01,-7.85,-7.31,-5.84,-3.96
"196507",1.43,1.04,2.22,-1.45,0,0.31,4.09,-0.08096848,-0.047633817,-99,1.58,2.3,2.06,1.81,3.6,-0.38,-1.41,3.95,1.06,3.39,2.63,3.42,3.47,3.53,3.21,3.52,2.74,3.56,2.33,1.11
"196508",2.73,2.74,-1.07,1.87,-0.72,0.33,2.58,-0.034744624,0.073394395,-99,4.06,3.21,3.64,1.56,5.88,1.33,2.3,6.29,0.92,5.07,4.1,4.38,4.21,5.15,7.41,5.16,4.08,4.29,3.47,2.48
"196509",2.86,0.6,-0.11,-1.08,0.84,0.31,3.32,0.026999793,0.062864064,-99,0.45,6.97,3.9,4.37,5.29,1.09,-0.66,2.24,1.37,1.83,3.03,2.09,2.73,4.85,3.53,3.34,2.94,3.12,2.85,3.26
"196510",2.6,3.41,1.6,1.23,-0.73,0.31,3.44,0.006197337,-0.02423726,-99,2.61,6.34,4.45,1.84,5.22,-2.29,0.3,3.23,1.06,4.23,8.11,6.52,5.64,5.95,5.79,4.84,3.71,4.01,3.62,2.17
"196511",-0.03,5.22,0.23,-1.07,-0.89,0.35,4.41,0.044465972,0.067953131,-99,1.1,-4.03,1.39,0.71,2.73,-4.32,1.4,3.8,-1.01,3.87,7.17,4.15,2.69,6.48,5.33,3.84,3.53,3.22,1.56,-1.2
